Event Name,Athlete Name,Team,Mark,Event Type
60,"Lawal, Simi",Tufts (F),7.94,Individual
200,"Lawal, Simi",Tufts (F),26.16,Individual
400,"Kral, Annika",Tufts (F),59.10,Individual
600,"Smith, Emma",Tufts (F),1:39.05,Individual
800,"Smith, Emma",Tufts (F),2:19.14,Individual
1000,"Dean, Alexandra",Tufts (F),3:00.32,Individual
Mile,"Ogden, Grace",Tufts (F),5:12.22,Individual
3000,"Donahue, Elizabeth",Tufts (F),10:16.30,Individual
5000,"Lau, Vivian",Tufts (F),20:27.32,Individual
60H,"Pillone, Sarah",Tufts (F),8.93,Individual
4x200,"Annika Kral, Sarah Pillone, Nyla Thompson, Simi Lawal",Tufts (F),1:48.42,Relay
4x400,"Anne-Sophie Janssen, Emma Smith, Antonia Knoth, Annika Kral",Tufts (F),4:01.82,Relay
4x800,"Julia Dolce, Amelia Neiman, Taylor Neldner, Alexandra Dean",Tufts (F),9:45.82,Relay
DMR,"Rose Kitz, Annika Kral, Emma Smith, Alexandra Dean",Tufts (F),12:03.82,Relay
HJ,"Meek, Harper",Tufts (F),1.67m,Individual
PV,"Firth, Sarah",Tufts (F),3.83m,Individual
LJ,"Andrew, Jordan",Tufts (F),5.30m,Individual
TJ,"Pillone, Sarah",Tufts (F),11.17m,Individual
SP,"Wells, Jackie",Tufts (F),10.57m,Individual
WT,"Graham, Elizabeth",Tufts (F),14.84m,Individual
Pent,"Silveira, Madelyn",Tufts (F),3117#,Individual
60,"Lemieux, Alex",Tufts (M),6.93,Individual
200,"Botsford, Luke",Tufts (M),21.53,Individual
300,"Fitzpatrick, Charlie",Tufts (M),36.10,Individual
400,"Botsford, Luke",Tufts (M),47.89,Individual
600,"McLeod, Cameron",Tufts (M),1:22.38,Individual
800,"O'Toole, Jackson",Tufts (M),1:54.36,Individual
1000,"Donovan, Simon",Tufts (M),2:32.38,Individual
Mile,"Cusato, Will",Tufts (M),4:18.11#,Individual
3000,"Appleton, Ivan",Tufts (M),8:15.80,Individual
5000,"Appleton, Ivan",Tufts (M),14:11.13,Individual
60H,"Wilkie, Josh",Tufts (M),8.23,Individual
4x400,"Neil Chowdhury, Noah Turner, Alex Lemieux, Luke Botsford",Tufts (M),3:13.54,Relay
4x800,"Simon Donovan, Quinn Hampson, Jackson O'Toole, Walter Wagude",Tufts (M),8:04.15,Relay
DMR,"Quinn Hampson, Ethan Forde, Ryan Proulx, Will Cusato",Tufts (M),10:16.68,Relay
HJ,"Rienecker-Found, Harry",Tufts (M),2.05m,Individual
PV,"Kropiwnicki, Ryder",Tufts (M),4.55m,Individual
LJ,"Rosewell, Carter",Tufts (M),7.08m,Individual
TJ,"Matturi, Sahr",Tufts (M),13.87m,Individual
SP,"Tuccio, Louis",Tufts (M),14.52m,Individual
WT,"Tuccio, Louis",Tufts (M),15.69m,Individual
Hep,"Rosewell, Carter",Tufts (M),5039#,Individual
60,"Charles, Aaron",Barton County CC (M),6.70,Individual
200,"Charles, Aaron",Barton County CC (M),20.82@,Individual
400,"Williams, Revon",Barton County CC (M),47.93,Individual
600,"Nethersole, Adrian",Barton County CC (M),1:18.41,Individual
600y,"Nethersole, Adrian",Barton County CC (M),1:10.99,Individual
800,"Belkhalfi, Hamza",Barton County CC (M),1:51.13@,Individual
1000,"Belkhalfi, Hamza",Barton County CC (M),2:26.20,Individual
Mile,"Belkhalfi, Hamza",Barton County CC (M),4:16.23,Individual
60H,"Martin, Jeramiah",Barton County CC (M),7.80,Individual
4x400,"Jaden Howell, Marshae McDonald, Adrian Nethersole, Revon Williams",Barton County CC (M),3:13.92@,Relay
DMR,"Hamza Belkhalfi, Corlando Chambers, Adrian Nethersole, Jaden Howell",Barton County CC (M),10:04.53,Relay
LJ,"Hamer, Trevon",Barton County CC (M),7.36m,Individual
TJ,"Hamer, Trevon",Barton County CC (M),15.70m,Individual
SP,"Young, Christopher",Barton County CC (M),18.67m,Individual
WT,"Young, Christopher",Barton County CC (M),18.70m,Individual
60,"Smith, Keliza",Barton County CC (F),7.37,Individual
200,"Smith, Keliza",Barton County CC (F),23.74,Individual
400,"Smith, Keliza",Barton County CC (F),55.98,Individual
600,"Walters, Shone",Barton County CC (F),1:36.84,Individual
600y,"Walters, Shone",Barton County CC (F),1:27.14,Individual
800,"Hasnaoui, Sanae",Barton County CC (F),2:10.02@,Individual
1000,"Hasnaoui, Sanae",Barton County CC (F),2:52.63,Individual
Mile,"Hasnaoui, Sanae",Barton County CC (F),4:47.32,Individual
3000,"Hasnaoui, Sanae",Barton County CC (F),9:39.57,Individual
60H,"Clarke, Kay-Lagay",Barton County CC (F),8.63,Individual
4x400,"Kialia Claiborne, Chloe Perryman, Shone Walters, Keliza Smith",Barton County CC (F),3:55.90,Relay
HJ,"williamson, jazmine",Barton County CC (F),1.75m,Individual
LJ,"Perryman, Chloe",Barton County CC (F),6.18m,Individual
TJ,"Clarke, Kay-Lagay",Barton County CC (F),12.11m,Individual
SP,"Hamilton, Treneese",Barton County CC (F),16.39m,Individual
WT,"Hamilton, Treneese",Barton County CC (F),18.73m,Individual
60,"Morrison, Andre",Butler CC (M),6.60,Individual
200,"Farinha, Jonathan",Butler CC (M),21.21,Individual
400,"Farinha, Jonathan",Butler CC (M),47.50,Individual
600,"Boukhiar, Abdelhakim",Butler CC (M),1:19.98,Individual
600y,"Feldenkirchen, Bennett",Butler CC (M),1:11.82,Individual
800,"Boukhiar, Abdelhakim",Butler CC (M),1:53.50,Individual
1000,"Harp-Jackson, Gabe",Butler CC (M),2:51.86,Individual
Mile,"Bouldjadj, Adem",Butler CC (M),4:16.80,Individual
3000,"Bouldjadj, Adem",Butler CC (M),8:44.40,Individual
5000,"Thumalo, Bhekizulu",Butler CC (M),15:10.46,Individual
60H,"Lee, Nasia",Butler CC (M),8.02,Individual
4x400,"Devian King, Jonathan Farinha, Nathan Farinha, Michael Thomas",Butler CC (M),3:12.25,Relay
4x800,"Soualah Yasser, Marte Hailey, Bennett Feldenkirchen, Abdelhakim Boukhiar",Butler CC (M),7:50.78,Relay
DMR,"Bhekizulu Thumalo, Bennett Feldenkirchen, Abdelhakim Boukhiar, Adem Bouldjadj",Butler CC (M),10:04.73,Relay
HJ,"Buchanan, Braylon",Butler CC (M),2.00m,Individual
PV,"Jackson, Deshon",Butler CC (M),2.28m,Individual
LJ,"Jackson, Deshon",Butler CC (M),6.43m,Individual
SP,"Harp-Jackson, Gabe",Butler CC (M),10.95m,Individual
Hep,"Harp-Jackson, Gabe",Butler CC (M),4389,Individual
60,"Jackson, Kayveonna",Butler CC (F),7.53,Individual
200,"Jackson, Kayveonna",Butler CC (F),24.83,Individual
400,"Warner, Trishanie",Butler CC (F),55.96,Individual
600,"Mpama, Star",Butler CC (F),1:32.72,Individual
600y,"Dexter, Keniya",Butler CC (F),1:29.45,Individual
800,"Mpama, Star",Butler CC (F),2:15.47,Individual
1000,"Grimmett, Heidi",Butler CC (F),3:11.03,Individual
Mile,"Bird, Khloi",Butler CC (F),5:14.99,Individual
3000,"Bird, Khloi",Butler CC (F),10:17.13,Individual
5000,"Bird, Khloi",Butler CC (F),17:45.23,Individual
4x400,"Star Mpama, Ala' Jah Brooks, Deslyne Cooper, Trishanie Warner",Butler CC (F),3:48.80,Relay
4x800,"Star Mpama, Keniya Dexter, Trishanie Warner, Khloi Bird",Butler CC (F),9:27.97,Relay
DMR,"Heidi Grimmett, Trishanie Warner, Star Mpama, Khloi Bird",Butler CC (F),12:29.76,Relay
60,"Mascall, Joshua",Central Arizona (M),6.74@,Individual
200,"Lynch, David",Central Arizona (M),21.43,Individual
400,"Mascall, Joshua",Central Arizona (M),48.56,Individual
600,"Chaffee, Connor",Central Arizona (M),1:20.29,Individual
800,"Chaffee, Connor",Central Arizona (M),1:58.10,Individual
1000,"Campos, Julian",Central Arizona (M),2:33.23,Individual
Mile,"Campos, Julian",Central Arizona (M),4:12.99,Individual
3000,"Gilson, Samuel",Central Arizona (M),8:27.28,Individual
5000,"Biakeddy, Daniel",Central Arizona (M),16:17.67,Individual
60H,"Simmonds, Sharvis",Central Arizona (M),8.02,Individual
4x400,"Sharvis Simmonds, David Lynch, Myles Copeland-Naulty, Joshua Mascall",Central Arizona (M),3:18.39,Relay
DMR,"Jordan Myers, Samuel Gilson, Jaden Augustine, Ariel Clark",Central Arizona (M),10:19.11,Relay
HJ,"Lammertink, Milo",Central Arizona (M),1.90m,Individual
PV,"Lammertink, Milo",Central Arizona (M),3.84m,Individual
LJ,"Oliveria, Gabriel",Central Arizona (M),7.21m,Individual
TJ,"Oliveria, Gabriel",Central Arizona (M),15.21m,Individual
SP,"Pritchard, Garrett",Central Arizona (M),14.53m,Individual
WT,"Pritchard, Garrett",Central Arizona (M),13.33m,Individual
Hep,"Lammertink, Milo",Central Arizona (M),4667,Individual
60,"Harris, Amiyanee",Central Arizona (F),8.09,Individual
200,"Strong, Mikelia",Central Arizona (F),24.97@,Individual
400,"Liburd, T'anna",Central Arizona (F),56.13,Individual
600,"Kombetto, Grace",Central Arizona (F),1:35.02,Individual
800,"Kombetto, Grace",Central Arizona (F),2:08.80,Individual
1000,"Bia, Temyra",Central Arizona (F),3:07.41,Individual
Mile,"Samuels, Brianna",Central Arizona (F),5:35.05,Individual
3000,"Viera, Jessica",Central Arizona (F),11:40.63,Individual
5000,"Viera, Jessica",Central Arizona (F),19:44.18,Individual
60H,"Boahemaa, Patience",Central Arizona (F),8.70@,Individual
4x400,"Mikelia Strong, T'Anna Liburd, Grace Kombetto, Aliyah Gidharry",Central Arizona (F),3:45.82,Relay
4x800,"Brianna Samuels, Temyra Bia, Grace Kombetto, Aliyah Gidharry",Central Arizona (F),9:24.83,Relay
DMR,"Brianna Samuels, Grace Kombetto, T'Anna Liburd, Temyra Bia",Central Arizona (F),12:42.57,Relay
HJ,"Gidharry, Aliyah",Central Arizona (F),1.57m,Individual
LJ,"Boahemaa, Patience",Central Arizona (F),5.35m,Individual
SP,"Ugeh, Kasie",Central Arizona (F),14.02m,Individual
WT,"Agbewodie, Rejoice",Central Arizona (F),16.61m,Individual
Pent,"Gidharry, Aliyah",Central Arizona (F),3374,Individual
60,"Brooks, Kevin",Cloud County CC (M),6.91,Individual
200,"Aninze, Ifeanyichukwu",Cloud County CC (M),22.80,Individual
400,"Ottey, Corey",Cloud County CC (M),49.37,Individual
600,"Thipe, Kamogelo",Cloud County CC (M),1:19.43(600),Individual
600y,"Thipe, Kamogelo",Cloud County CC (M),1:10.92,Individual
800,"Power, Nichalas",Cloud County CC (M),1:51.70,Individual
1000,"Power, Nichalas",Cloud County CC (M),2:27.17,Individual
Mile,"Mokgothu, Siyabonga",Cloud County CC (M),4:11.73,Individual
3000,"Mokgothu, Siyabonga",Cloud County CC (M),8:17.23,Individual
5000,"Mokgothu, Siyabonga",Cloud County CC (M),14:50.31#,Individual
60H,"Hutchinson, Brandon",Cloud County CC (M),8.16,Individual
4x400,"Bradley Nkosi, Kamogelo Thipe, Kevin Brooks, Oageng Mdlela",Cloud County CC (M),3:17.97,Relay
4x800,"Siyabonga Mokgothu, Nichalas Power, Ishmael Acheampong, Kamogelo Thipe",Cloud County CC (M),7:32.71,Relay
DMR,"Nirmit Dahiya, Corey Ottey, Kamogelo Thipe, Siyabonga Mokgothu",Cloud County CC (M),9:53.95,Relay
HJ,"Ottey, Corey",Cloud County CC (M),2.04m,Individual
PV,"Bellhassen, Mohamed",Cloud County CC (M),4.66m,Individual
LJ,"Zlatev, Lubo",Cloud County CC (M),7.21m,Individual
TJ,"Ndlovu, Awakhiwe",Cloud County CC (M),15.05m,Individual
SP,"Deiter, Joshua",Cloud County CC (M),14.67m,Individual
WT,"Smikle, Andre",Cloud County CC (M),15.35m,Individual
Hep,"Brooks, Kevin",Cloud County CC (M),4862,Individual
60,"Nuhu, Rafiatu",Cloud County CC (F),7.76,Individual
200,"Nuhu, Rafiatu",Cloud County CC (F),24.68,Individual
400,"Nuhu, Rafiatu",Cloud County CC (F),54.93,Individual
600,"Ncube, Nontokozo",Cloud County CC (F),1:33.39,Individual
600y,"Nuhu, Rafiatu",Cloud County CC (F),1:24.77,Individual
